clinic_id,location_ny,location_nj,location_ct,location_virtual,location_home,clinic_individual,clinic_chain,clinic_hospital,clinic_med_spa,clinic_telehealth,clinic_home,rater,visits_person,visits_virtual,visits_home,visits_d_nspecify,types_drugs,form_infusion,form_injection,form_oral,form_nasal,form_d_nspecify,degree,cost,insurance,depression,bipolar_disorder,ocd,ptsd,anxiety,schizophrenia,sud,eating_disorders,disorder_d_nspecify,promotional,benefits,citations,risk,other_adhd,other_stress_fatigue,other_autism,other_pain,other_parkinsons,other_stroke,other_ppd,other_end,other_headache,other_suicide,other_cancer,other_grief,other_lyme,other_sleep,other_leg,other_mh,other_sexual,other_tbi,other_pain_head,depressive_disorders,state
23,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Single State
24,1,0,1,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,combination
25,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
26,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
27,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
28,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
29,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
30,1,1,0,1,0,0,0,0,0,Telehealth Yes,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,combination
31,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single State
32,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
33,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
34,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
35,1,0,0,1,0,0,0,0,0,Telehealth Yes,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
36,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single State
37,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
38,1,0,0,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
39,1,0,0,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
40,1,0,0,0,0,0,0,1,0,Telehealth No,0,3,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
41,0,0,0,0,1,0,0,0,0,Telehealth No,1,3,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,combination
42,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
43,1,0,1,1,1,1,0,0,0,Telehealth Yes,1,3,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,combination
44,1,0,0,1,0,0,1,0,0,Telehealth Yes,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
45,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,Single State
46,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
47,0,0,1,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
48,1,0,0,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Single State
49,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
50,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Single State
51,0,0,1,0,0,0,1,0,0,Telehealth No,0,3,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
52,0,1,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
53,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single State
